Training started at 2025-03-07 16:06:19.619350
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
1500	0.7435	0.6507	14.9845	3.8710	1.6941	0.8565	3.8710
1500	0.7435	0.6507	14.9845	3.8710	1.6941	0.8565	3.8710
3000	0.4884	0.6065	14.7521	3.8408	1.6019	0.8587	3.8408
3000	0.4884	0.6065	14.7521	3.8408	1.6019	0.8587	3.8408
4500	0.5680	0.6078	15.1365	3.8906	1.6064	0.8550	3.8408
4500	0.5680	0.6078	15.1365	3.8906	1.6064	0.8550	3.8408
6000	0.5934	0.5995	15.1775	3.8958	1.5885	0.8545	3.8408
6000	0.5934	0.5995	15.1775	3.8958	1.5885	0.8545	3.8408
7500	0.6062	0.6256	13.1745	3.6297	1.6418	0.8739	3.6297
7500	0.6062	0.6256	13.1745	3.6297	1.6418	0.8739	3.6297
9000	0.8335	0.6374	21.5545	4.6427	1.6645	0.7933	3.6297
9000	0.8335	0.6374	21.5545	4.6427	1.6645	0.7933	3.6297
10500	0.5515	0.6081	13.2875	3.6452	1.6088	0.8729	3.6297
10500	0.5515	0.6081	13.2875	3.6452	1.6088	0.8729	3.6297
12000	0.5066	0.5977	13.1836	3.6309	1.5859	0.8736	3.6297
12000	0.5066	0.5977	13.1836	3.6309	1.5859	0.8736	3.6297
13500	0.5896	0.6196	13.8407	3.7203	1.6330	0.8673	3.6297
13500	0.5896	0.6196	13.8407	3.7203	1.6330	0.8673	3.6297
15000	0.4977	0.6115	12.1244	3.4820	1.6117	0.8839	3.4820
15000	0.4977	0.6115	12.1244	3.4820	1.6117	0.8839	3.4820
16500	0.5276	0.6290	17.5371	4.1877	1.6486	0.8322	3.4820
16500	0.5276	0.6290	17.5371	4.1877	1.6486	0.8322	3.4820
18000	0.4280	0.6157	13.8080	3.7159	1.6233	0.8677	3.4820
18000	0.4280	0.6157	13.8080	3.7159	1.6233	0.8677	3.4820
19500	0.5018	0.6188	14.1879	3.7667	1.6292	0.8639	3.4820
19500	0.5018	0.6188	14.1879	3.7667	1.6292	0.8639	3.4820
21000	0.5679	0.6182	14.4919	3.8068	1.6265	0.8614	3.4820
21000	0.5679	0.6182	14.4919	3.8068	1.6265	0.8614	3.4820
22500	0.5710	0.6099	14.0487	3.7482	1.6127	0.8653	3.4820
22500	0.5710	0.6099	14.0487	3.7482	1.6127	0.8653	3.4820
24000	0.5931	0.6380	13.4896	3.6728	1.6681	0.8709	3.4820
24000	0.5931	0.6380	13.4896	3.6728	1.6681	0.8709	3.4820
25500	0.4857	0.6201	14.1692	3.7642	1.6308	0.8642	3.4820
25500	0.4857	0.6201	14.1692	3.7642	1.6308	0.8642	3.4820
27000	0.5765	0.6355	23.8549	4.8842	1.6617	0.7714	3.4820
27000	0.5765	0.6355	23.8549	4.8842	1.6617	0.7714	3.4820
28500	0.5132	0.6166	13.7659	3.7102	1.6243	0.8681	3.4820
28500	0.5132	0.6166	13.7659	3.7102	1.6243	0.8681	3.4820
30000	0.5530	0.6206	14.4566	3.8022	1.6315	0.8615	3.4820
30000	0.5530	0.6206	14.4566	3.8022	1.6315	0.8615	3.4820
31500	0.5457	0.6219	14.4319	3.7989	1.6376	0.8618	3.4820
31500	0.5457	0.6219	14.4319	3.7989	1.6376	0.8618	3.4820
33000	0.5154	0.5982	11.9498	3.4569	1.5868	0.8855	3.4569
33000	0.5154	0.5982	11.9498	3.4569	1.5868	0.8855	3.4569
34500	0.5013	0.6121	14.2563	3.7758	1.6142	0.8635	3.4569
34500	0.5013	0.6121	14.2563	3.7758	1.6142	0.8635	3.4569
36000	0.3608	0.6086	13.1637	3.6282	1.6061	0.8739	3.4569
36000	0.3608	0.6086	13.1637	3.6282	1.6061	0.8739	3.4569
37500	0.4981	0.6050	12.8408	3.5834	1.5984	0.8770	3.4569
37500	0.4981	0.6050	12.8408	3.5834	1.5984	0.8770	3.4569
39000	0.5548	0.6034	14.5737	3.8175	1.5940	0.8603	3.4569
39000	0.5548	0.6034	14.5737	3.8175	1.5940	0.8603	3.4569
40500	0.6484	0.6208	15.1245	3.8890	1.6305	0.8551	3.4569
40500	0.6484	0.6208	15.1245	3.8890	1.6305	0.8551	3.4569
42000	0.7641	0.6749	14.0848	3.7530	1.7466	0.8653	3.4569
42000	0.7641	0.6749	14.0848	3.7530	1.7466	0.8653	3.4569
43500	0.4556	0.6069	12.2314	3.4973	1.6017	0.8829	3.4569
43500	0.4556	0.6069	12.2314	3.4973	1.6017	0.8829	3.4569
45000	0.4599	0.6035	12.9845	3.6034	1.5962	0.8756	3.4569
45000	0.4599	0.6035	12.9845	3.6034	1.5962	0.8756	3.4569
46500	0.4751	0.6036	14.1619	3.7632	1.5955	0.8642	3.4569
46500	0.4751	0.6036	14.1619	3.7632	1.5955	0.8642	3.4569
48000	0.5285	0.6213	14.8499	3.8536	1.6311	0.8577	3.4569
48000	0.5285	0.6213	14.8499	3.8536	1.6311	0.8577	3.4569
49500	0.4782	0.6042	15.0638	3.8812	1.5987	0.8557	3.4569
49500	0.4782	0.6042	15.0638	3.8812	1.5987	0.8557	3.4569
51000	0.4920	0.6176	14.2850	3.7796	1.6289	0.8632	3.4569
51000	0.4920	0.6176	14.2850	3.7796	1.6289	0.8632	3.4569
52500	0.4391	0.5881	13.8200	3.7175	1.5687	0.8686	3.4569
52500	0.4391	0.5881	13.8200	3.7175	1.5687	0.8686	3.4569
54000	0.3935	0.6150	14.0944	3.7542	1.6190	0.8652	3.4569
54000	0.3935	0.6150	14.0944	3.7542	1.6190	0.8652	3.4569
55500	0.7201	0.6708	21.5900	4.6465	1.7351	0.7932	3.4569
55500	0.7201	0.6708	21.5900	4.6465	1.7351	0.7932	3.4569
57000	0.5673	0.6231	14.3510	3.7883	1.6370	0.8624	3.4569
57000	0.5673	0.6231	14.3510	3.7883	1.6370	0.8624	3.4569
58500	0.5816	0.6191	17.2772	4.1566	1.6296	0.8346	3.4569
58500	0.5816	0.6191	17.2772	4.1566	1.6296	0.8346	3.4569
60000	0.5494	0.6062	16.3723	4.0463	1.6015	0.8431	3.4569
