Training started at 2025-03-07 16:06:19.619350
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
60000	0.5494	0.6062	16.3723	4.0463	1.6015	0.8431	3.4569
61500	0.4483	0.6163	19.2913	4.3922	1.6214	0.8151	3.4569
61500	0.4483	0.6163	19.2913	4.3922	1.6214	0.8151	3.4569
63000	0.5598	0.6297	16.8134	4.1004	1.6505	0.8388	3.4569
63000	0.5598	0.6297	16.8134	4.1004	1.6505	0.8388	3.4569
64500	0.7167	0.6488	14.0068	3.7426	1.6926	0.8658	3.4569
64500	0.7167	0.6488	14.0068	3.7426	1.6926	0.8658	3.4569
66000	0.4599	0.5963	13.8519	3.7218	1.5786	0.8671	3.4569
66000	0.4599	0.5963	13.8519	3.7218	1.5786	0.8671	3.4569
67500	0.5079	0.6034	13.5343	3.6789	1.5950	0.8706	3.4569
67500	0.5079	0.6034	13.5343	3.6789	1.5950	0.8706	3.4569
69000	0.4811	0.5967	14.8129	3.8488	1.5826	0.8579	3.4569
69000	0.4811	0.5967	14.8129	3.8488	1.5826	0.8579	3.4569
70500	0.5993	0.6102	13.6605	3.6960	1.6111	0.8690	3.4569
70500	0.5993	0.6102	13.6605	3.6960	1.6111	0.8690	3.4569
72000	0.5075	0.5923	11.6662	3.4156	1.5733	0.8882	3.4156
72000	0.5075	0.5923	11.6662	3.4156	1.5733	0.8882	3.4156
73500	0.6934	0.6714	11.7705	3.4308	1.7402	0.8873	3.4156
73500	0.6934	0.6714	11.7705	3.4308	1.7402	0.8873	3.4156
75000	0.5158	0.6094	15.8494	3.9811	1.6093	0.8482	3.4156
75000	0.5158	0.6094	15.8494	3.9811	1.6093	0.8482	3.4156
