Training started at 2025-03-03 21:02:12.941769
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
2000	1.4203	0.7682	43.4974	6.5953	1.9361	0.5834	6.5953
2000	1.3216	0.7682	43.4974	6.5953	1.9361	0.5834	6.5953
4000	1.3343	0.7368	42.4066	6.5120	1.8760	0.5939	6.5120
4000	1.1058	0.7368	42.4066	6.5120	1.8760	0.5939	6.5120
6000	1.1569	0.7400	41.8285	6.4675	1.8806	0.5992	6.4675
6000	2.2498	0.7400	41.8285	6.4675	1.8806	0.5992	6.4675
8000	1.1891	0.7245	40.9900	6.4023	1.8462	0.6071	6.4023
8000	1.4322	0.7245	40.9900	6.4023	1.8462	0.6071	6.4023
10000	1.0870	0.7169	40.3795	6.3545	1.8326	0.6136	6.3545
10000	1.2391	0.7169	40.3795	6.3545	1.8326	0.6136	6.3545
12000	0.9786	0.7086	40.2119	6.3413	1.8137	0.6143	6.3413
12000	1.0565	0.7086	40.2119	6.3413	1.8137	0.6143	6.3413
14000	1.2227	0.7229	40.7987	6.3874	1.8455	0.6097	6.3413
14000	1.0873	0.7229	40.7987	6.3874	1.8455	0.6097	6.3413
16000	0.9433	0.7108	40.3001	6.3482	1.8207	0.6137	6.3413
16000	1.2233	0.7108	40.3001	6.3482	1.8207	0.6137	6.3413
18000	0.9518	0.7229	41.1938	6.4182	1.8443	0.6052	6.3413
18000	0.9064	0.7229	41.1938	6.4182	1.8443	0.6052	6.3413
20000	1.1517	0.7097	39.3431	6.2724	1.8145	0.6232	6.2724
20000	1.0917	0.7097	39.3431	6.2724	1.8145	0.6232	6.2724
22000	1.1461	0.6953	38.4657	6.2021	1.7889	0.6320	6.2021
22000	0.9384	0.6953	38.4657	6.2021	1.7889	0.6320	6.2021
24000	0.9178	0.7043	38.9501	6.2410	1.8054	0.6267	6.2021
24000	2.0251	0.7043	38.9501	6.2410	1.8054	0.6267	6.2021
26000	0.9927	0.6894	38.1413	6.1759	1.7757	0.6343	6.1759
26000	1.2646	0.6894	38.1413	6.1759	1.7757	0.6343	6.1759
28000	1.0169	0.6888	37.7158	6.1413	1.7724	0.6392	6.1413
28000	1.0009	0.6888	37.7158	6.1413	1.7724	0.6392	6.1413
30000	0.8580	0.6776	36.7032	6.0583	1.7516	0.6482	6.0583
30000	0.9173	0.6776	36.7032	6.0583	1.7516	0.6482	6.0583
32000	1.0550	0.6800	36.7968	6.0660	1.7546	0.6477	6.0583
32000	0.9815	0.6800	36.7968	6.0660	1.7546	0.6477	6.0583
34000	0.9194	0.6957	37.6393	6.1351	1.7889	0.6393	6.0583
34000	1.0923	0.6957	37.6393	6.1351	1.7889	0.6393	6.0583
36000	0.7102	0.6995	36.7959	6.0660	1.7949	0.6474	6.0583
36000	0.8211	0.6995	36.7959	6.0660	1.7949	0.6474	6.0583
38000	0.9876	0.6840	35.9516	5.9960	1.7643	0.6555	5.9960
38000	0.9526	0.6840	35.9516	5.9960	1.7643	0.6555	5.9960
40000	0.9243	0.6820	33.8319	5.8165	1.7615	0.6759	5.8165
40000	0.7905	0.6820	33.8319	5.8165	1.7615	0.6759	5.8165
42000	0.8330	0.6839	32.9779	5.7426	1.7658	0.6842	5.7426
42000	1.8207	0.6839	32.9779	5.7426	1.7658	0.6842	5.7426
44000	0.8856	0.6804	32.1161	5.6671	1.7598	0.6922	5.6671
44000	1.0833	0.6804	32.1161	5.6671	1.7598	0.6922	5.6671
46000	0.8902	0.6732	30.8137	5.5510	1.7426	0.7050	5.5510
46000	0.8544	0.6732	30.8137	5.5510	1.7426	0.7050	5.5510
48000	0.7820	0.6565	29.3762	5.4200	1.7077	0.7186	5.4200
48000	0.8080	0.6565	29.3762	5.4200	1.7077	0.7186	5.4200
50000	0.9169	0.6667	29.8743	5.4657	1.7288	0.7139	5.4200
50000	0.8948	0.6667	29.8743	5.4657	1.7288	0.7139	5.4200
52000	0.8015	0.6768	28.5576	5.3439	1.7253	0.7263	5.3439
52000	0.9017	0.6768	28.5576	5.3439	1.7253	0.7263	5.3439
54000	0.5742	0.6625	30.0292	5.4799	1.7189	0.7124	5.3439
54000	0.7594	0.6625	30.0292	5.4799	1.7189	0.7124	5.3439
56000	0.9029	0.6661	27.2493	5.2201	1.7282	0.7395	5.2201
56000	0.8557	0.6661	27.2493	5.2201	1.7282	0.7395	5.2201
58000	0.9061	0.6746	25.7318	5.0727	1.7431	0.7536	5.0727
58000	0.8102	0.6746	25.7318	5.0727	1.7431	0.7536	5.0727
60000	0.8023	0.6616	27.9787	5.2895	1.7191	0.7320	5.0727
60000	1.6610	0.6616	27.9787	5.2895	1.7191	0.7320	5.0727
62000	0.8378	0.6510	28.0548	5.2967	1.6968	0.7310	5.0727
62000	0.9685	0.6510	28.0548	5.2967	1.6968	0.7310	5.0727
64000	0.8042	0.6604	26.5985	5.1574	1.7146	0.7452	5.0727
64000	0.8526	0.6604	26.5985	5.1574	1.7146	0.7452	5.0727
66000	0.7836	0.6553	27.4370	5.2380	1.7051	0.7371	5.0727
66000	0.7617	0.6553	27.4370	5.2380	1.7051	0.7371	5.0727
68000	0.7932	0.6545	25.2569	5.0256	1.7051	0.7581	5.0256
68000	0.8535	0.6545	25.2569	5.0256	1.7051	0.7581	5.0256
70000	0.7530	0.6609	26.2979	5.1281	1.7206	0.7500	5.0256
70000	0.7082	0.6609	26.2979	5.1281	1.7206	0.7500	5.0256
72000	0.5796	0.6624	28.0942	5.3004	1.7196	0.7312	5.0256
72000	0.7613	0.6624	28.0942	5.3004	1.7196	0.7312	5.0256
74000	0.9160	0.6708	25.4788	5.0477	1.7382	0.7560	5.0256
74000	0.9067	0.6708	25.4788	5.0477	1.7382	0.7560	5.0256
76000	0.7245	0.6465	24.9238	4.9924	1.6874	0.7611	4.9924
76000	0.7163	0.6465	24.9238	4.9924	1.6874	0.7611	4.9924
