Training started at 2025-03-06 17:22:40.857309
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
1500	0.9297	0.6796	23.0482	4.8009	1.7551	0.7793	4.8009
1500	0.9297	0.6796	23.0482	4.8009	1.7551	0.7793	4.8009
3000	0.8025	0.6856	27.0843	5.2043	1.7683	0.7406	4.8009
3000	0.8025	0.6856	27.0843	5.2043	1.7683	0.7406	4.8009
4500	0.9486	0.6638	22.7533	4.7700	1.7231	0.7820	4.7700
4500	0.9486	0.6638	22.7533	4.7700	1.7231	0.7820	4.7700
6000	1.2083	0.6655	23.6500	4.8631	1.7267	0.7733	4.7700
6000	1.2083	0.6655	23.6500	4.8631	1.7267	0.7733	4.7700
7500	0.7834	0.6524	21.7124	4.6597	1.6992	0.7922	4.6597
7500	0.7834	0.6524	21.7124	4.6597	1.6992	0.7922	4.6597
