Training started at 2025-03-05 11:35:52.785244
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
2000	0.8023	0.6579	25.2246	5.0224	1.7089	0.7584	5.0224
2000	0.7492	0.6579	25.2246	5.0224	1.7089	0.7584	5.0224
4000	0.7705	0.6524	21.4959	4.6364	1.7002	0.7942	4.6364
4000	0.7459	0.6524	21.4959	4.6364	1.7002	0.7942	4.6364
6000	0.7261	0.6464	23.8899	4.8877	1.6873	0.7711	4.6364
6000	1.5138	0.6464	23.8899	4.8877	1.6873	0.7711	4.6364
8000	0.7465	0.6520	25.1486	5.0148	1.6980	0.7589	4.6364
8000	0.8878	0.6520	25.1486	5.0148	1.6980	0.7589	4.6364
10000	0.7637	0.6420	25.0747	5.0075	1.6773	0.7600	4.6364
10000	0.7038	0.6420	25.0747	5.0075	1.6773	0.7600	4.6364
12000	0.6641	0.6522	26.0331	5.1023	1.6984	0.7503	4.6364
12000	0.7454	0.6522	26.0331	5.1023	1.6984	0.7503	4.6364
14000	0.6297	0.6376	23.1450	4.8109	1.6687	0.7786	4.6364
14000	0.7577	0.6376	23.1450	4.8109	1.6687	0.7786	4.6364
16000	0.6166	0.6545	25.7349	5.0730	1.7033	0.7533	4.6364
16000	0.6054	0.6545	25.7349	5.0730	1.7033	0.7533	4.6364
18000	0.4254	0.6423	23.1337	4.8097	1.6780	0.7783	4.6364
18000	0.5953	0.6423	23.1337	4.8097	1.6780	0.7783	4.6364
20000	0.7470	0.6638	23.3023	4.8272	1.7187	0.7769	4.6364
20000	0.7501	0.6638	23.3023	4.8272	1.7187	0.7769	4.6364
