Training started at 2025-03-02 01:21:35.669763
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
2000	2.9323	1.3169	66.1339	8.1323	3.0564	0.3666	8.1323
2000	2.7858	1.3169	66.1339	8.1323	3.0564	0.3666	8.1323
4000	2.6190	1.2910	65.5952	8.0991	3.0067	0.3719	8.0991
4000	2.4753	1.2910	65.5952	8.0991	3.0067	0.3719	8.0991
6000	2.4696	1.2724	64.0035	8.0002	2.9677	0.3867	8.0002
6000	3.4262	1.2724	64.0035	8.0002	2.9677	0.3867	8.0002
8000	2.4499	1.2384	64.0890	8.0056	2.8976	0.3856	8.0002
8000	2.7721	1.2384	64.0890	8.0056	2.8976	0.3856	8.0002
10000	2.2313	1.1980	62.3896	7.8987	2.8160	0.4030	7.8987
10000	2.2767	1.1980	62.3896	7.8987	2.8160	0.4030	7.8987
12000	2.1713	1.1962	60.7497	7.7942	2.8090	0.4174	7.7942
12000	2.3296	1.1962	60.7497	7.7942	2.8090	0.4174	7.7942
14000	2.3532	1.1291	59.5750	7.7185	2.6762	0.4300	7.7185
14000	2.1852	1.1291	59.5750	7.7185	2.6762	0.4300	7.7185
16000	2.0054	1.1080	58.4257	7.6437	2.6289	0.4399	7.6437
16000	2.2772	1.1080	58.4257	7.6437	2.6289	0.4399	7.6437
18000	2.0273	1.1219	58.4021	7.6421	2.6618	0.4402	7.6421
18000	1.9127	1.1219	58.4021	7.6421	2.6618	0.4402	7.6421
20000	2.2581	1.0407	56.1242	7.4916	2.4951	0.4625	7.4916
20000	2.0914	1.0407	56.1242	7.4916	2.4951	0.4625	7.4916
22000	1.8343	0.9847	54.0346	7.3508	2.3832	0.4830	7.3508
22000	1.6457	0.9847	54.0346	7.3508	2.3832	0.4830	7.3508
24000	1.8417	0.9646	52.7239	7.2611	2.3403	0.4947	7.2611
24000	2.9007	0.9646	52.7239	7.2611	2.3403	0.4947	7.2611
26000	1.8492	0.9419	51.5174	7.1776	2.2942	0.5060	7.1776
26000	2.1816	0.9419	51.5174	7.1776	2.2942	0.5060	7.1776
28000	1.6329	0.9090	50.3495	7.0957	2.2280	0.5184	7.0957
28000	1.7187	0.9090	50.3495	7.0957	2.2280	0.5184	7.0957
30000	1.4914	0.8603	49.0294	7.0021	2.1278	0.5301	7.0021
30000	1.5365	0.8603	49.0294	7.0021	2.1278	0.5301	7.0021
32000	1.7619	0.8775	49.1398	7.0100	2.1621	0.5296	7.0021
32000	1.5714	0.8775	49.1398	7.0100	2.1621	0.5296	7.0021
34000	1.4304	0.8403	48.0122	6.9291	2.0887	0.5399	6.9291
34000	1.6349	0.8403	48.0122	6.9291	2.0887	0.5399	6.9291
36000	1.3113	0.8171	46.6586	6.8307	2.0359	0.5528	6.8307
36000	1.2857	0.8171	46.6586	6.8307	2.0359	0.5528	6.8307
38000	1.5699	0.7934	45.1195	6.7171	1.9909	0.5676	6.7171
38000	1.4597	0.7934	45.1195	6.7171	1.9909	0.5676	6.7171
40000	1.4826	0.8151	44.6419	6.6815	2.0337	0.5723	6.6815
40000	1.2823	0.8151	44.6419	6.6815	2.0337	0.5723	6.6815
42000	1.2711	0.7661	43.8409	6.6212	1.9329	0.5802	6.6212
42000	2.2798	0.7661	43.8409	6.6212	1.9329	0.5802	6.6212
44000	1.3575	0.7759	43.4847	6.5943	1.9564	0.5832	6.5943
44000	1.6168	0.7759	43.4847	6.5943	1.9564	0.5832	6.5943
46000	1.3043	0.7607	42.3337	6.5064	1.9220	0.5948	6.5064
46000	1.3710	0.7607	42.3337	6.5064	1.9220	0.5948	6.5064
