Training started at 2025-03-06 12:37:54.848519
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
1000	0.7594	0.6352	23.0434	4.8004	1.6624	0.7793	4.8004
1000	0.7594	0.6352	23.0434	4.8004	1.6624	0.7793	4.8004
2000	0.7085	0.6419	22.1767	4.7092	1.6776	0.7876	4.7092
2000	0.7085	0.6419	22.1767	4.7092	1.6776	0.7876	4.7092
3000	0.6808	0.6534	22.1770	4.7092	1.7011	0.7875	4.7092
3000	0.6808	0.6534	22.1770	4.7092	1.7011	0.7875	4.7092
4000	0.7219	0.6669	24.1675	4.9160	1.7274	0.7683	4.7092
4000	0.7219	0.6669	24.1675	4.9160	1.7274	0.7683	4.7092
5000	0.8291	0.6674	22.1480	4.7062	1.7319	0.7881	4.7062
5000	0.8291	0.6674	22.1480	4.7062	1.7319	0.7881	4.7062
6000	0.9692	0.6258	23.5853	4.8565	1.6432	0.7738	4.7062
6000	0.9692	0.6258	23.5853	4.8565	1.6432	0.7738	4.7062
7000	0.7904	0.6417	24.4816	4.9479	1.6776	0.7658	4.7062
7000	0.7904	0.6417	24.4816	4.9479	1.6776	0.7658	4.7062
